"Story","Title","Result","Date","Stability","Duration (s)"
"Search by keyword","Searching for a term","ERROR","2022-05-16T16:46:12.5123667+03:00[Asia/Jerusalem]","0.0","14.22"
"Search in google","Experitest google search","PENDING","2022-06-23T09:45:48.3797873+03:00[Asia/Jerusalem]","0.0","0.21"
